t,x,y,z,gripper
0.0,0.18,-0.15,0.025500000000000002,0.0
0.04,0.18,-0.15,0.025500000000000002,0.2081350378765754
0.08,0.18,-0.15,0.025500000000000002,0.40809706278913943
0.12,0.18,-0.15,0.025500000000000002,0.5917130617736808
0.16,0.18,-0.15,0.025500000000000002,0.7508100218661878
0.2,0.18,-0.15,0.025500000000000002,0.8772149301026495
0.24,0.18,-0.15,0.025500000000000002,0.9627547735190545
0.28,0.18,-0.15,0.025500000000000002,0.999256539151391
0.32,0.18,-0.15,0.025500000000000002,1.0
0.36,0.18,-0.15,0.025500000000000002,1.0
0.4,0.18,-0.15,0.025500000000000002,1.0
0.44,0.18,-0.15,0.025500000000000002,1.0
0.48,0.18,-0.15,0.025500000000000002,1.0
0.52,0.18,-0.15,0.025500000000000002,1.0
0.56,0.18,-0.15,0.025500000000000002,1.0
0.6,0.18,-0.15,0.025639896993397557,1.0
0.64,0.18,-0.15,0.02633076937562017,1.0
0.68,0.18,-0.15,0.027555256106301253,1.0
0.72,0.18,-0.15,0.029264176139499942,1.0
0.76,0.18,-0.15,0.031408348429275354,1.0
0.8,0.18,-0.15,0.03393859192968662,1.0
0.84,0.18,-0.15,0.03680572559479286,1.0
0.88,0.18,-0.15,0.039960568378653215,1.0
0.92,0.18,-0.15,0.04335393923532681,1.0
0.96,0.18,-0.15,0.04693665711887275,1.0
1.0,0.18,-0.15,0.05065954098335018,1.0
1.04,0.18,-0.15,0.05447340978281825,1.0
1.08,0.18,-0.15,0.05832908247133603,1.0
1.12,0.18,-0.15,0.062177378002962705,1.0
1.16,0.18,-0.15,0.06596911533175734,1.0
1.2,0.18,-0.15,0.06965511341177916,1.0
1.24,0.18,-0.15,0.07318619119708718,1.0
1.28,0.18,-0.15,0.0765131676417406,1.0
1.32,0.18,-0.15,0.07958686169979849,1.0
1.36,0.18,-0.15,0.08235809232532004,1.0
1.4000000000000001,0.18,-0.15,0.08477767847236435,1.0
1.44,0.18,-0.15,0.08679643909499052,1.0
1.48,0.18,-0.15,0.08836519314725771,1.0
1.52,0.18,-0.15,0.08943475958322504,1.0
1.56,0.18,-0.15,0.08995595735695168,1.0
1.6,0.18028685234481237,-0.14962967360964521,0.08999968929514116,1.0
1.6400000000000001,0.18180755987093233,-0.14764155953420569,0.08999701650040354,1.0
1.68,0.18435570228354045,-0.14428225706628284,0.08999898232819081,1.0
1.72,0.18759461708020944,-0.139933072621091,0.08999206113725085,1.0
1.76,0.19117433300012288,-0.1350394839377587,0.08999734882030913,1.0
1.8,0.19483512626722668,-0.12992131192561393,0.09004112643298179,1.0
1.84,0.19815433729641357,-0.12496874035581709,0.09004553435500008,1.0
1.8800000000000001,0.20072565172513043,-0.12054696057529887,0.08998280940116221,1.0
1.92,0.20324686970074196,-0.1166183334084337,0.09009014219796219,1.0
1.96,0.2054132813117643,-0.11257943447421419,0.09012184727072234,1.0
2.0,0.20780880545500144,-0.10852457977255288,0.08998011512255216,1.0
2.04,0.21011094294951885,-0.10439996155303508,0.08950708416804845,1.0
2.08,0.21180579403139174,-0.09989558574425438,0.08999143782929923,1.0
2.12,0.21356844642061024,-0.0956566622706126,0.09017241348766898,1.0
2.16,0.2160844380388042,-0.09172779779388973,0.08980115199027577,1.0
2.2,0.21710047218110348,-0.08690560690717228,0.0901473799294613,1.0
2.24,0.21934445027882868,-0.08241424978319044,0.08958046686708089,1.0
2.2800000000000002,0.2209364877142766,-0.07838242249017466,0.0900100813603534,1.0
2.32,0.2220238556228746,-0.07414484869463932,0.09017030163395531,1.0
2.36,0.22372899073590372,-0.06932063403173921,0.08979858404959255,1.0
2.4,0.2254494281282512,-0.0637343704322675,0.08956727079615863,1.0
2.44,0.22560592224553494,-0.060764595038189616,0.09002584561050225,1.0
2.48,0.22729066806797385,-0.056573172847591724,0.08959236002805235,1.0
2.52,0.2283786413084039,-0.05007560317462262,0.08983911691962693,1.0
2.56,0.22992034525952118,-0.04586564586783841,0.08971858984633464,1.0
2.6,0.23123128693539755,-0.04213156967835352,0.08950498961167032,1.0
2.64,0.23233292251725418,-0.036371962151538005,0.08913585212252115,1.0
2.68,0.23234698579625848,-0.03199613221919386,0.09043045244308773,1.0
2.72,0.23283813206930948,-0.027726825857302247,0.09044560479872793,1.0
2.7600000000000002,0.23449784178736371,-0.023151073623861946,0.09038639438427758,1.0
2.8000000000000003,0.23265619945400914,-0.018537865293340578,0.08988248833118467,1.0
2.84,0.23363884653320358,-0.013667244836221826,0.09033999519456754,1.0
2.88,0.23380311361961684,-0.01020391287542477,0.08877531787108046,1.0
2.92,0.2343712803939597,-0.00279182018974055,0.08974518349001838,1.0
2.96,0.23500402470987994,0.00034362068979187845,0.08897720235503105,1.0
3.0,0.23286878871458222,0.003417037332897247,0.09057538114871894,1.0
3.04,0.23407167005936785,0.011423274541584271,0.09029624696746073,1.0
3.08,0.2335725348787787,0.014294740586057704,0.08525792767240206,1.0
3.12,0.23470431301913236,0.017374582724743817,0.09120790540121368,1.0
3.16,0.23334790855966936,0.023996303278447047,0.08945208390821975,1.0
3.2,0.23073845309796825,0.028904885184088444,0.09068529164788479,1.0
3.24,0.23211891312511038,0.03300734547304548,0.08999923377617387,1.0
3.2800000000000002,0.23155657347054884,0.03890127915572694,0.08891963826715252,1.0
3.3200000000000003,0.2325123716666435,0.04216443599602004,0.09064499476236615,1.0
3.36,0.2319316495686915,0.04573944656831111,0.09157400333274965,1.0
3.4,0.22694741361962087,0.0521269868945658,0.09048260632463082,1.0
3.44,0.22674580549954526,0.05782626390877378,0.09107329480700169,1.0
3.48,0.22774370951843736,0.05960723317266632,0.08896465349667258,1.0
3.52,0.2260009359654828,0.06525599755767517,0.09113605639669724,1.0
3.56,0.22061958249869518,0.07296516337753595,0.08845303360333126,1.0
3.6,0.2222591696891669,0.07310574981294143,0.08702160019522219,1.0
3.64,0.22157335055052385,0.07647440037637881,0.09249069662867858,1.0
3.68,0.21737773559857315,0.08467571310886163,0.08822377809792162,1.0
3.72,0.21731814622044185,0.08762257554798435,0.08945422915810604,1.0
3.7600000000000002,0.2141946814561903,0.09104929597431644,0.09113799093329635,1.0
3.8000000000000003,0.2140933905777798,0.09918628234406007,0.08787406857292819,1.0
3.84,0.21141933735659743,0.10265348607255916,0.08749953463384491,1.0
3.88,0.2084907099969079,0.10357407184300767,0.0894304356453665,1.0
3.92,0.2069063167239474,0.11125608369381829,0.09114691298177065,1.0
3.96,0.20688025106490038,0.11465220300606827,0.09123516639570403,1.0
4.0,0.20239616254197812,0.11983331817878913,0.08974566952641133,1.0
4.04,0.2010715897667452,0.12322407075690082,0.09037914920560165,1.0
4.08,0.19957932618091634,0.12576618813754628,0.08927627780537745,1.0
4.12,0.19305685654643867,0.13136030581958763,0.09020992379494501,1.0
4.16,0.19178538395703026,0.13381922636640664,0.0894802755902994,1.0
4.2,0.1895085852415232,0.1372381774459322,0.09055908967361304,1.0
4.24,0.1858280674471918,0.14120797326013468,0.09070646127190825,1.0
4.28,0.1844412491367855,0.14351417969348837,0.08975878987795326,1.0
4.32,0.1820663975523837,0.14927842037492828,0.09159342439041519,1.0
4.36,0.17831109184506255,0.15182387665201985,0.0895445448135418,1.0
4.4,0.17545321786846516,0.15495150116521134,0.08922958611422331,1.0
4.44,0.1731314111542102,0.15957078071582534,0.09088882552540409,1.0
4.48,0.16665391883697078,0.16347824562810553,0.08983118610897668,1.0
4.5200000000000005,0.16769042300691556,0.16426559132058477,0.09092645749719813,1.0
4.5600000000000005,0.16388344919504583,0.17047983110390805,0.08972416924891821,1.0
4.6000000000000005,0.15845831767494994,0.17227143323756905,0.0897515586712902,1.0
4.64,0.1563331211446265,0.17511340596580363,0.09115769278530111,1.0
4.68,0.15228097773380125,0.17964021752248266,0.09077526447648344,1.0
4.72,0.14746900198035343,0.18278113967863974,0.08925905746007799,1.0
4.76,0.14462227912121833,0.1847735670168067,0.09057222740156659,1.0
4.8,0.14118030033284668,0.18682140115643514,0.08988208266720489,1.0
4.84,0.1366383043816451,0.1902060691118937,0.08973022196346765,1.0
4.88,0.13210095971165237,0.1925741811863448,0.09030529648939735,1.0
4.92,0.12886541924052325,0.19520884159503787,0.09096411192343173,1.0
4.96,0.12427912286253441,0.20026080285590775,0.08981581542531379,1.0
5.0,0.11934729748792029,0.2031695530294834,0.08957971533140675,1.0
5.04,0.11487118414213333,0.2049469038423219,0.0901409168392381,1.0
5.08,0.11133450386712825,0.20818097666549445,0.09046446088281183,1.0
5.12,0.10741654602919208,0.209404443365712,0.08970312721630459,1.0
5.16,0.10471512342835938,0.2094514174070207,0.08996629620036328,1.0
