t,x,y,z,gripper
0.0,0.1,0.0,0.2,0.0
0.04,0.0792622753260852,-0.009411637316296332,0.20122649642681195,0.005076855297977208
0.08,0.058605867591033665,-0.018786623601764023,0.20240896514887016,0.010058343726451698
0.12,0.038112093733708684,-0.028088307825574425,0.20350337846142083,0.01484909841592075
0.16,0.01786227069297353,-0.037280038956898895,0.20446570865971025,0.01935375249688165
0.2,-0.0020622845923085513,-0.0463251659649088,0.20525192803898468,0.023476939099831676
0.24,-0.021580255183274232,-0.05518703781877547,0.20581800889449028,0.027123291355268104
0.28,-0.04061032414106028,-0.0638290034876703,0.2061199235214734,0.030197442393688233
0.32,-0.05907117452680341,-0.07221441194076461,0.20611364421518022,0.03260402534558932
0.36,-0.07688148940164034,-0.0803066121472298,0.205755143270857,0.03424767334146867
0.4,-0.09395995182670785,-0.08806895307623717,0.20500039298374997,0.035033019511823554
0.44,-0.11022524486314257,-0.0954647836969581,0.2038053656491054,0.034864696987151264
0.48,-0.12559605157208126,-0.10245745297856396,0.20212603356216954,0.03364733889794907
0.52,-0.13999105501466075,-0.10901030989022611,0.1999183690181886,0.03128557837471424
0.56,-0.15332893825201757,-0.1150867034011159,0.19713834431240884,0.027684048547944096
0.6,-0.16552838434528863,-0.12064998248040466,0.19374193174007653,0.022747382548135867
0.64,-0.17650807635561053,-0.1256634960972638,0.1896851035964379,0.016380213505786903
0.68,-0.18618669734412002,-0.13009059322086464,0.1849238321767392,0.00848717455139443
0.72,-0.19448296047695357,-0.13389463618711833,0.1794141111374421,0.0
0.76,-0.20135552825482367,-0.1370567249956438,0.17314028046793295,0.0
0.8,-0.2068817671921834,-0.13961066470107114,0.16617090743018392,0.0
0.84,-0.21116099034825286,-0.1416000047113409,0.15859013161224275,0.0
0.88,-0.21429251078225228,-0.14306829443439362,0.15048209260215695,0.0
0.92,-0.21637564155340183,-0.1440590832781698,0.14193092998797427,0.0
0.96,-0.21750969572092171,-0.14461592065061002,0.13302078335774223,0.0
1.0,-0.21779398634403205,-0.14478235595965475,0.12383579229950852,0.0
1.04,-0.2173278264819531,-0.14460193861324458,0.11446009640132068,0.0
1.08,-0.21621052919390496,-0.14411821801932007,0.10497783525122645,0.0
1.12,-0.21454140753910786,-0.14337474358582172,0.09547314843727336,0.0
1.16,-0.21241977457678193,-0.14241506472069002,0.08603017554750911,0.0
1.2,-0.20994494336614744,-0.14128273083186557,0.07673305616998122,0.0
1.24,-0.20721622696642453,-0.14002129132728894,0.06766592989273744,0.0
1.28,-0.2043329384368333,-0.13867429561490058,0.058912936303825346,0.0
1.32,-0.20139439083659408,-0.13728529310264104,0.05055821499129256,0.0
1.36,-0.1984998972249269,-0.13589783319845086,0.04268590554318668,0.0
1.4000000000000001,-0.195748770661052,-0.13455546531027068,0.03538014754755536,0.0
1.44,-0.19324018023522674,-0.133301683659024,0.028724968926511763,0.0072653939440317315
1.48,-0.19104277361758312,-0.13216828281805276,0.02278072442406091,0.04747489341690286
1.52,-0.18915710115882256,-0.1311609539017074,0.017554950797202446,0.09359367091277877
1.56,-0.18757449919602387,-0.13028185605525713,0.013048038183129766,0.14485590157050154
1.6,-0.18628630406626576,-0.1295331484239711,0.009260376719036338,0.2004957605289125
1.6400000000000001,-0.185283852106627,-0.12891699015311853,0.006192356542115562,0.2597474229268536
1.68,-0.18455847965418637,-0.12843554038796856,0.0038443677895608486,0.3218450639031668
1.72,-0.18410152304602254,-0.12809095827379036,0.0022168005985656212,0.38602285859669383
1.76,-0.18390431861921427,-0.12788540295585316,0.0013100451063233006,0.45151498214627683
1.8,-0.1839582027108404,-0.12782103357942612,0.0011244914500273082,0.5175556096907569
1.84,-0.18425451165797954,-0.12790000928977843,0.0016605297668710781,0.5833789163689762
1.8800000000000001,-0.18478458179771054,-0.12812448923217923,0.0029185501940480066,0.6482190773197767
1.92,-0.18553974946711213,-0.12849663255189772,0.004898942868751521,0.7113102676819999
1.96,-0.18651135100326302,-0.12901859839420307,0.007602097928175048,0.771886662594488
2.0,-0.18769072274324194,-0.12969254590436452,0.011028405509512007,0.8291824371960825
2.04,-0.18906920102412772,-0.13052063422765114,0.015178255749955863,0.882431766625626
2.08,-0.19063812218299903,-0.13150502250933224,0.02005203878669995,0.9308688260219589
2.12,-0.19238882255693465,-0.1326478698946769,0.025650144756937714,0.9737277905239237
2.16,-0.19431238650666255,-0.13395109097585003,0.031972576391629516,1.0
2.2,-0.19638040288932765,-0.13539767918076254,0.038989362657999606,1.0
2.24,-0.19853141433029523,-0.13693855525057377,0.0466197249132245,1.0
2.2800000000000002,-0.20070076242203008,-0.1385215331962665,0.05477796302048289,1.0
2.32,-0.20282378875699705,-0.1400944270288235,0.06337837684295348,1.0
2.36,-0.204835834927661,-0.14160505075922752,0.07233526624381495,1.0
2.4,-0.20667224252648678,-0.14300121839846125,0.08156293108624611,1.0
2.44,-0.2082683531459391,-0.1442307439575075,0.09097567123342544,1.0
2.48,-0.20955950837848292,-0.14524144144734893,0.10048778654853174,1.0
2.52,-0.21048104981658303,-0.14598112487896842,0.11001357689474371,1.0
2.56,-0.21096831905270427,-0.14639760826334858,0.11946734213524005,1.0
2.6,-0.2109566576793115,-0.14643870561147224,0.1287633821331994,1.0
2.64,-0.21038140728886945,-0.14605223093432204,0.1378159967518005,1.0
2.68,-0.2091779094738431,-0.14518599824288086,0.14653948585422205,1.0
2.72,-0.20728150582669716,-0.14378782154813136,0.15484814930364277,1.0
2.7600000000000002,-0.20462753793989652,-0.14180551486105625,0.16265628696324136,1.0
