t,x,y,z,gripper
0.0,0.1,0.0,0.2,0.0
0.04,0.08926767607491756,-0.014515879905609132,0.19966755644773776,0.0
0.08,0.07883214495418463,-0.028630336155460213,0.19870062063001498,0.0
0.12,0.06899019944215067,-0.04194194509379519,0.19714478480542763,0.0
0.16,0.06003863234316518,-0.05404928306485603,0.1950456412325717,0.0
0.2,0.05227423646157767,-0.06455092641288467,0.19244878217004313,0.0
0.24,0.04599380460173762,-0.07304545148212302,0.18939979987643787,0.0
0.28,0.04149412956799452,-0.07913143461681311,0.18594428661035195,0.0
0.32,0.03907200416469786,-0.08240745216119683,0.1821278346303813,0.0
0.36,0.038732053928480975,-0.08286724789949682,0.17689027048947298,0.0
0.4,0.038732053928480975,-0.08286724789949682,0.16388293997247996,0.0
0.44,0.038732053928480975,-0.08286724789949682,0.14421724002303446,0.0
0.48,0.038732053928480975,-0.08286724789949682,0.12045773518715948,0.0
0.52,0.038732053928480975,-0.08286724789949682,0.0951689900108781,0.0
0.56,0.038732053928480975,-0.08286724789949682,0.07091556904021352,0.0
0.6,0.038732053928480975,-0.08286724789949682,0.05026203682118871,0.0
0.64,0.038732053928480975,-0.08286724789949682,0.03577295789982682,0.0
0.68,0.038732053928480975,-0.08286724789949682,0.030012896822150942,0.0
0.72,0.038732053928480975,-0.08286724789949682,0.03,0.03466229284790327
0.76,0.038732053928480975,-0.08286724789949682,0.03,0.1333582897192303
0.8,0.038732053928480975,-0.08286724789949682,0.03,0.27680525946243145
0.84,0.038732053928480975,-0.08286724789949682,0.03,0.44562649217422035
0.88,0.038732053928480975,-0.08286724789949682,0.03,0.6204452779513123
0.92,0.038732053928480975,-0.08286724789949682,0.03,0.781884906890421
0.96,0.038732053928480975,-0.08286724789949682,0.03,0.9105686690882615
1.0,0.038732053928480975,-0.08286724789949682,0.03,0.9871198546415478
1.04,0.038732053928480975,-0.08286724789949682,0.031099472934381055,1.0
1.08,0.038732053928480975,-0.08286724789949682,0.0412277582894403,1.0
1.12,0.038732053928480975,-0.08286724789949682,0.05959114535339589,1.0
1.16,0.038732053928480975,-0.08286724789949682,0.083283127640755,1.0
1.2,0.038732053928480975,-0.08286724789949682,0.10939719866602492,1.0
1.24,0.038732053928480975,-0.08286724789949682,0.13502685194371256,1.0
1.28,0.038732053928480975,-0.08286724789949682,0.15726558098832524,1.0
1.32,0.038732053928480975,-0.08286724789949682,0.17320687931437015,1.0
1.36,0.038732053928480975,-0.08286724789949682,0.17994424043635432,1.0
1.4000000000000001,0.03892733849710612,-0.08256168051806412,0.18,1.0
1.44,0.039541005226931665,-0.08159547502727475,0.18,1.0
1.48,0.0404817970214547,-0.0801015437633387,0.18,1.0
1.52,0.04165615152654865,-0.07821639120660517,0.18,1.0
1.56,0.04297050638808693,-0.07607652183742343,0.18,1.0
1.6,0.04433129925194294,-0.07381844013614271,0.18,1.0
1.6400000000000001,0.04564496776399011,-0.07157865058311225,0.18,1.0
1.68,0.04681794957010185,-0.0694936576586813,0.18,1.0
1.72,0.047777740493854096,-0.0676702757878213,0.18,1.0
1.76,0.048673207146102196,-0.06590092658994928,0.18,1.0
1.8,0.04955147160337414,-0.06411704516623844,0.18,1.0
1.84,0.0504098538456977,-0.062319824581239684,0.18,1.0
1.8800000000000001,0.051245673853100616,-0.06051045789950389,0.18,1.0
1.92,0.05205625160561068,-0.05869013818558196,0.18,1.0
1.96,0.05283890708325562,-0.056860058504024785,0.18,1.0
2.0,0.05359096026606325,-0.055021411919383284,0.18,1.0
2.04,0.05430973113406128,-0.05317539149620833,0.18,1.0
2.08,0.055001822774237284,-0.05132059237445525,0.18,1.0
2.12,0.055679708143610215,-0.04945377565787963,0.18,1.0
2.16,0.05633996518994085,-0.04757601037003489,0.18,1.0
2.2,0.0569789105842922,-0.04568843752199389,0.18,1.0
2.24,0.05759286099772729,-0.04379219812482954,0.18,1.0
2.2800000000000002,0.05817813310130915,-0.0418884331896147,0.18,1.0
2.32,0.058731043566100795,-0.03997828372742228,0.18,1.0
2.36,0.05924790906316526,-0.038062890749325125,0.18,1.0
2.4,0.05972722418712208,-0.03614302913450764,0.18,1.0
2.44,0.06019289213592271,-0.03421507022960048,0.18,1.0
2.48,0.0606476710268985,-0.03227865942470991,0.18,1.0
2.52,0.061085425663318066,-0.030334904150023097,0.18,1.0
2.56,0.06150002084845002,-0.028384911835727247,0.18,1.0
2.6,0.06188532138556295,-0.026429789912009522,0.18,1.0
2.64,0.06223519207792545,-0.02447064580905711,0.18,1.0
2.68,0.06254349772880616,-0.02250858695705718,0.18,1.0
2.72,0.06280410314147364,-0.020544720786196922,0.18,1.0
2.7600000000000002,0.06303079739713341,-0.018578088455432875,0.18,1.0
2.8000000000000003,0.06325640810186399,-0.016605662405137493,0.18,1.0
2.84,0.06347441545119584,-0.01462841819041086,0.18,1.0
2.88,0.06367718751591188,-0.01264744565565329,0.18,1.0
2.92,0.06385709236679499,-0.010663834645265097,0.18,1.0
2.96,0.06400649807462808,-0.008678675003646597,0.18,1.0
3.0,0.06411777271019405,-0.006693056575198108,0.18,1.0
